"INCOME_Code","INCOME_Text"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
10,"$115,000 +"
5,"$40,000 - $49,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
2,"$12,000 - $14,999"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
1,"Below $12,000"
11,"Did Not Know"
5,"$40,000 - $49,999"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
7,"$60,000 - $74,999"
2,"$12,000 - $14,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
10,"$115,000 +"
1,"Below $12,000"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
7,"$60,000 - $74,999"
13,"Not Asked Because"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
10,"$115,000 +"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
10,"$115,000 +"
10,"$115,000 +"
7,"$60,000 - $74,999"
1,"Below $12,000"
9,"$90,000 - $114,999"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
1,"Below $12,000"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
1,"Below $12,000"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
10,"$115,000 +"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
2,"$12,000 - $14,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
8,"$75,000 - $89,999"
1,"Below $12,000"
1,"Below $12,000"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
9,"$90,000 - $114,999"
9,"$90,000 - $114,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
10,"$115,000 +"
6,"$50,000 - $59,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
10,"$115,000 +"
9,"$90,000 - $114,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
8,"$75,000 - $89,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
8,"$75,000 - $89,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
9,"$90,000 - $114,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
9,"$90,000 - $114,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
13,"Not Asked Because"
1,"Below $12,000"
1,"Below $12,000"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
11,"Refused to Answer"
1,"Below $12,000"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
2,"$12,000 - $14,999"
10,"$115,000 +"
7,"$60,000 - $74,999"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
1,"Below $12,000"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
1,"Below $12,000"
11,"Did Not Know"
1,"Below $12,000"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
10,"$115,000 +"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
7,"$60,000 - $74,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
10,"$115,000 +"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
13,"Not Asked Because"
1,"Below $12,000"
6,"$50,000 - $59,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
11,"Did Not Know"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
7,"$60,000 - $74,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
11,"Refused to Answer"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
7,"$60,000 - $74,999"
5,"$40,000 - $49,999"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
9,"$90,000 - $114,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
9,"$90,000 - $114,999"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
2,"$12,000 - $14,999"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
1,"Below $12,000"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
1,"Below $12,000"
1,"Below $12,000"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
13,"Not Asked Because"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
10,"$115,000 +"
1,"Below $12,000"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
13,"Not Asked Because"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
11,"Refused to Answer"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
8,"$75,000 - $89,999"
13,"Not Asked Because"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
13,"Not Asked Because"
4,"$30,000 - $39,999"
10,"$115,000 +"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
9,"$90,000 - $114,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
10,"$115,000 +"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
7,"$60,000 - $74,999"
1,"Below $12,000"
13,"Not Asked Because"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
11,"Refused to Answer"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
2,"$12,000 - $14,999"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
13,"Not Asked Because"
1,"Below $12,000"
10,"$115,000 +"
1,"Below $12,000"
1,"Below $12,000"
4,"$30,000 - $39,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
1,"Below $12,000"
3,"$15,000 - $29,999"
10,"$115,000 +"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
13,"Not Asked Because"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
8,"$75,000 - $89,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
7,"$60,000 - $74,999"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
10,"$115,000 +"
1,"Below $12,000"
7,"$60,000 - $74,999"
1,"Below $12,000"
1,"Below $12,000"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
10,"$115,000 +"
10,"$115,000 +"
1,"Below $12,000"
10,"$115,000 +"
9,"$90,000 - $114,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
11,"Refused to Answer"
13,"Not Asked Because"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
7,"$60,000 - $74,999"
8,"$75,000 - $89,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
9,"$90,000 - $114,999"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
11,"Did Not Know"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
8,"$75,000 - $89,999"
10,"$115,000 +"
3,"$15,000 - $29,999"
1,"Below $12,000"
9,"$90,000 - $114,999"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
10,"$115,000 +"
9,"$90,000 - $114,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
11,"Did Not Know"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
7,"$60,000 - $74,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
10,"$115,000 +"
2,"$12,000 - $14,999"
1,"Below $12,000"
10,"$115,000 +"
11,"Refused to Answer"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
10,"$115,000 +"
4,"$30,000 - $39,999"
10,"$115,000 +"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
8,"$75,000 - $89,999"
4,"$30,000 - $39,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
13,"Not Asked Because"
8,"$75,000 - $89,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
8,"$75,000 - $89,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
6,"$50,000 - $59,999"
2,"$12,000 - $14,999"
8,"$75,000 - $89,999"
11,"Did Not Know"
6,"$50,000 - $59,999"
6,"$50,000 - $59,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
1,"Below $12,000"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
9,"$90,000 - $114,999"
5,"$40,000 - $49,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
9,"$90,000 - $114,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
6,"$50,000 - $59,999"
11,"Refused to Answer"
9,"$90,000 - $114,999"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
5,"$40,000 - $49,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
3,"$15,000 - $29,999"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
6,"$50,000 - $59,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
8,"$75,000 - $89,999"
7,"$60,000 - $74,999"
